image_name,num_init_seeds,num_final_superpixels,n_masses,num_of_tries,red_channel_mean_threshold,green_channel_mean_threshold,blue_channel_mean_threshold,tp,fp,fn,precision,recall,f1_score
2.png,7000,4000,300,5,130,90,80,134,13,23,0.91,0.85,0.88
3.png,7000,4000,300,5,130,90,80,98,24,16,0.8,0.86,0.83
4.png,7000,4000,300,5,130,90,80,72,4,34,0.95,0.68,0.79
5.png,7000,4000,300,5,130,90,80,16,3,30,0.84,0.35,0.49
6.png,7000,4000,300,5,130,90,80,45,6,34,0.88,0.57,0.69
7.png,7000,4000,300,5,130,90,80,45,5,51,0.9,0.47,0.62
8.png,7000,4000,300,5,130,90,80,29,1,14,0.97,0.67,0.79
9.png,7000,4000,300,5,130,90,80,14,8,3,0.64,0.82,0.72
10.png,7000,4000,300,5,130,90,80,12,1,4,0.92,0.75,0.83
2.png,7000,4000,300,5,140,100,90,153,28,6,0.85,0.96,0.9
3.png,7000,4000,300,5,140,100,90,110,46,3,0.71,0.97,0.82
4.png,7000,4000,300,5,140,100,90,86,19,22,0.82,0.8,0.81
5.png,7000,4000,300,5,140,100,90,31,8,16,0.79,0.66,0.72
6.png,7000,4000,300,5,140,100,90,63,21,13,0.75,0.83,0.79
7.png,7000,4000,300,5,140,100,90,78,13,14,0.86,0.85,0.85
8.png,7000,4000,300,5,140,100,90,36,4,2,0.9,0.95,0.92
9.png,7000,4000,300,5,140,100,90,15,12,2,0.56,0.88,0.68
10.png,7000,4000,300,5,140,100,90,15,2,1,0.88,0.94,0.91
2.png,7000,4000,300,5,150,110,100,156,74,2,0.68,0.99,0.81
3.png,7000,4000,300,5,150,110,100,114,87,1,0.57,0.99,0.72
4.png,7000,4000,300,5,150,110,100,93,60,16,0.61,0.85,0.71
5.png,7000,4000,300,5,150,110,100,44,25,6,0.64,0.88,0.74
6.png,7000,4000,300,5,150,110,100,75,51,1,0.6,0.99,0.75
7.png,7000,4000,300,5,150,110,100,89,34,5,0.72,0.95,0.82
8.png,7000,4000,300,5,150,110,100,36,14,2,0.72,0.95,0.82
9.png,7000,4000,300,5,150,110,100,16,21,1,0.43,0.94,0.59
10.png,7000,4000,300,5,150,110,100,15,10,1,0.6,0.94,0.73
2.png,7000,4000,300,5,160,120,110,158,199,1,0.44,0.99,0.61
3.png,7000,4000,300,5,160,120,110,113,177,2,0.39,0.98,0.56
4.png,7000,4000,300,5,160,120,110,99,157,8,0.39,0.93,0.55
5.png,7000,4000,300,5,160,120,110,46,97,4,0.32,0.92,0.47
6.png,7000,4000,300,5,160,120,110,77,146,1,0.35,0.99,0.52
7.png,7000,4000,300,5,160,120,110,89,110,4,0.45,0.96,0.61
8.png,7000,4000,300,5,160,120,110,38,53,1,0.42,0.97,0.59
9.png,7000,4000,300,5,160,120,110,16,42,1,0.28,0.94,0.43
10.png,7000,4000,300,5,160,120,110,16,57,1,0.22,0.94,0.36
2.png,7000,4000,300,5,170,130,120,159,510,1,0.24,0.99,0.39
3.png,7000,4000,300,5,170,130,120,114,444,1,0.2,0.99,0.33
4.png,7000,4000,300,5,170,130,120,97,363,5,0.21,0.95,0.34
5.png,7000,4000,300,5,170,130,120,47,320,2,0.13,0.96,0.23
6.png,7000,4000,300,5,170,130,120,71,330,12,0.18,0.86,0.3
7.png,7000,4000,300,5,170,130,120,94,289,1,0.25,0.99,0.4
8.png,7000,4000,300,5,170,130,120,41,225,1,0.15,0.98,0.26
9.png,7000,4000,300,5,170,130,120,16,155,1,0.09,0.94,0.16
10.png,7000,4000,300,5,170,130,120,9,104,7,0.08,0.56,0.14
2.png,7000,4000,300,5,120,80,70,97,4,58,0.96,0.63,0.76
3.png,7000,4000,300,5,120,80,70,80,14,35,0.85,0.7,0.77
4.png,7000,4000,300,5,120,80,70,52,1,55,0.98,0.49,0.65
5.png,7000,4000,300,5,120,80,70,6,1,41,0.86,0.13,0.23
6.png,7000,4000,300,5,120,80,70,23,3,59,0.88,0.28,0.42
7.png,7000,4000,300,5,120,80,70,30,2,65,0.94,0.32,0.48
8.png,7000,4000,300,5,120,80,70,21,1,22,0.95,0.49,0.65
9.png,7000,4000,300,5,120,80,70,10,5,7,0.67,0.59,0.63
10.png,7000,4000,300,5,120,80,70,8,1,8,0.89,0.5,0.64
