image_name,num_init_seeds,num_final_superpixels,n_masses,num_of_tries,red_channel_mean_threshold,green_channel_mean_threshold,blue_channel_mean_threshold,tp,fp,fn,precision,recall,f1_score
2.png,7000,4000,300,5,130,90,80,154,37,5,0.81,0.97,0.88
3.png,7000,4000,300,5,130,90,80,107,54,6,0.66,0.95,0.78
4.png,7000,4000,300,5,130,90,80,25,14,79,0.64,0.24,0.35
5.png,7000,4000,300,5,130,90,80,30,20,17,0.6,0.64,0.62
6.png,7000,4000,300,5,130,90,80,60,38,15,0.61,0.8,0.69
7.png,7000,4000,300,5,130,90,80,71,20,21,0.78,0.77,0.77
8.png,7000,4000,300,5,130,90,80,35,5,4,0.88,0.9,0.89
9.png,7000,4000,300,5,130,90,80,15,17,2,0.47,0.88,0.61
10.png,7000,4000,300,5,130,90,80,15,9,1,0.62,0.94,0.75
2.png,7000,4000,300,5,140,100,90,156,177,2,0.47,0.99,0.64
3.png,7000,4000,300,5,140,100,90,114,181,1,0.39,0.99,0.56
4.png,7000,4000,300,5,140,100,90,96,113,13,0.46,0.88,0.6
5.png,7000,4000,300,5,140,100,90,43,80,5,0.35,0.9,0.5
6.png,7000,4000,300,5,140,100,90,76,117,1,0.39,0.99,0.56
7.png,7000,4000,300,5,140,100,90,89,99,3,0.47,0.97,0.63
8.png,7000,4000,300,5,140,100,90,36,51,3,0.41,0.92,0.57
9.png,7000,4000,300,5,140,100,90,16,53,1,0.23,0.94,0.37
10.png,7000,4000,300,5,140,100,90,15,44,1,0.25,0.94,0.39
2.png,7000,4000,300,5,150,110,100,157,570,1,0.22,0.99,0.36
3.png,7000,4000,300,5,150,110,100,112,477,2,0.19,0.98,0.32
4.png,7000,4000,300,5,150,110,100,88,272,15,0.24,0.85,0.37
5.png,7000,4000,300,5,150,110,100,31,173,15,0.15,0.67,0.25
6.png,7000,4000,300,5,150,110,100,81,367,1,0.18,0.99,0.3
7.png,7000,4000,300,5,150,110,100,91,305,1,0.23,0.99,0.37
8.png,7000,4000,300,5,150,110,100,39,270,1,0.13,0.97,0.23
9.png,7000,4000,300,5,150,110,100,16,180,1,0.08,0.94,0.15
10.png,7000,4000,300,5,150,110,100,16,149,1,0.1,0.94,0.18
